,symbol,Ltp,%change,open,High,Low,Qty,Pclose,diff
232,RBBD2088,"1,092.00",2.05,"1,070.10","1,092.00","1,070.10",157,"1,070.10",21.9
233,RBCL,"15,005.10",0.04,"15,188.00","15,190.00","15,000.10",610,"14,999.00",6.1
234,RBCLPO,"11,998.00",0.09,"11,987.00","11,999.00","11,900.10",112,"11,987.00",11
235,RFPL,385.00,0.79,375.00,401.50,373.00,"65,424",382.00,3
236,RHGCL,256.00,0,250.90,259.00,250.90,"36,132",256.00,0
237,RHPL,278.80,0.32,275.30,291.00,275.30,"47,159",277.90,0.9
238,RIDI,223.50,0,223.50,225.00,222.00,"45,661",223.50,0
239,RLFL,438.00,-0.23,430.30,447.00,430.30,"12,221",439.00,-1
240,RMF1,8.85,0.68,8.96,9.24,8.85,"52,510",8.79,0.06
241,RMF2,9.30,1.97,9.10,9.30,9.10,"1,400",9.12,0.18
242,RNLI,486.90,0.83,483.40,491.00,480.20,"71,745",482.90,4
243,RSDC,631.90,-0.47,647.10,660.00,623.20,"12,310",634.90,-3
244,RSY,9.14,2.24,8.80,9.18,8.80,"16,830",8.94,0.2
245,RURU,728.50,-0.48,745.00,745.00,724.00,"6,608",732.00,-3.5
246,SADBL,405.80,-1,407.20,411.00,403.00,"70,282",409.90,-4.1
247,SAGAR,"1,830.00",0.71,"1,800.00","1,892.00","1,733.00","134,790","1,817.10",12.9
248,SAGF,9.45,0.53,9.58,9.58,9.43,"28,900",9.40,0.05
249,SAHAS,543.80,0.15,547.00,548.00,541.00,"43,219",543.00,0.8
250,SAIL,781.70,9.99,724.90,781.70,724.90,"6,050",710.70,71
251,SALICO,600.00,-0.17,592.00,602.80,592.00,"1,497",601.00,-1
252,SANIMA,310.00,0,310.00,311.00,305.30,"31,113",310.00,0
253,SANVI,677.00,0.59,660.00,682.00,660.00,"38,149",673.00,4
254,SAPDBL,799.30,-1.06,793.00,823.30,793.00,"23,310",807.90,-8.6
255,SARBTM,864.60,0.53,855.10,865.00,851.50,"7,276",860.00,4.6
256,SBCF,8.89,-1.22,9.00,9.00,8.86,"3,550",9.00,-0.11
257,SBD87,"1,090.10",-0.68,"1,097.60","1,097.60","1,090.10",35,"1,097.60",-7.5
258,SBI,394.80,-1.03,399.50,399.50,389.30,"14,933",398.90,-4.1
259,SBID2090,"1,074.10",0.38,"1,074.00","1,074.10","1,074.00",50,"1,070.00",4.1
260,SBL,348.00,0,348.00,350.00,343.00,"37,745",348.00,0
261,SBLD2091,"1,121.80",1.98,"1,099.00","1,121.80","1,099.00",210,"1,100.00",21.8
262,SCB,621.00,-0.32,625.00,626.00,619.00,"17,924",623.00,-2
263,SCBD,"1,190.00",0,"1,190.00","1,190.00","1,190.00",25,"1,190.00",0
264,SEF,9.30,1.09,9.38,9.38,9.13,"124,500",9.20,0.1
265,SFCL,393.40,-1.63,399.90,402.00,393.20,"11,493",399.90,-6.5
266,SFEF,9.26,-0.43,9.25,9.40,9.25,"20,400",9.30,-0.04
267,SFMF,10.01,0.2,9.99,10.01,9.99,"6,365",9.99,0.02
268,SGHC,386.00,-3.26,395.00,400.00,386.00,"24,061",399.00,-13
269,SGIC,477.90,0.29,485.00,485.00,468.50,"6,384",476.50,1.4
270,SHEL,285.80,-1.07,290.00,290.00,285.30,"83,793",288.90,-3.1
271,SHINE,396.00,-0.15,395.20,399.90,394.00,"18,265",396.60,-0.6
272,SHIVM,572.80,0.14,572.20,579.00,570.00,"79,174",572.00,0.8
273,SHL,479.70,-0.06,470.40,485.10,470.40,"11,295",480.00,-0.3
274,SHLB,"1,690.10",-1.16,"1,677.00","1,712.00","1,675.80",960,"1,710.00",-19.9
275,SHPC,529.20,0.23,527.00,536.90,527.00,"98,862",528.00,1.2
276,SICL,630.00,-0.47,645.00,645.00,622.00,"5,095",633.00,-3
277,SIFC,504.90,-1.58,519.00,519.00,499.90,"18,803",513.00,-8.1
278,SIGS2,9.40,-1.57,9.55,9.55,9.40,"10,500",9.55,-0.15
279,SIGS3,9.39,-0.11,9.40,9.40,9.37,500,9.40,-0.01
280,SIKLES,564.50,-1.31,572.00,579.00,561.40,"23,767",572.00,-7.5
281,SINDU,745.00,1.36,723.00,750.00,718.10,"51,986",735.00,10
282,SJCL,295.00,2.43,285.00,299.90,284.30,"17,345",288.00,7
283,SJLIC,463.00,0.43,452.10,468.00,452.10,"62,559",461.00,2
284,SKBBL,867.00,-0.53,872.00,872.00,865.10,"14,388",871.60,-4.6
285,SLBBL,903.70,0.28,906.10,915.00,902.30,"10,136",901.20,2.5
286,SLBSL,"1,300.10",-0.53,"1,296.10","1,309.00","1,296.10","1,407","1,307.00",-6.9
287,SLCF,9.23,-0.11,9.10,9.23,9.02,"28,250",9.24,-0.01
288,SMATA,811.00,-0.86,818.00,819.00,808.10,"5,224",818.00,-7
289,SMB,"2,040.00",-5.16,"2,108.00","2,108.00","1,935.90","12,702","2,151.00",-111
290,SMFBS,"1,740.00",2.29,"1,701.00","1,740.00","1,701.00","3,579","1,701.00",39
291,SMH,772.00,-0.77,763.00,778.00,750.00,"1,764",778.00,-6
292,SMHL,715.00,-1.38,723.00,729.00,712.00,"9,439",725.00,-10
293,SMJC,503.10,-0.38,504.50,508.00,499.00,"8,889",505.00,-1.9
